,Bacteroides_thetaiotaomicron,Bifidobacterium_infantis,Lactobacillus_crispatus
GH13_20,0,1,1
GH13_30,0,1,0
GH13_31,0,1,2
GH31_1,1,0,1
GH65,0,0,1
