"","Genus","direction","log2_fc","p_value","q_value"
"1","g__Bacteroidales_unclassified","Healthy-enriched",-1.14232720909768,0.00221558332873285,0.0177246666298628
"2","g__Roseburia","Healthy-enriched",-0.96511569030805,3.31526449263927e-06,0.000185654811587799
"3","g__Faecalibacterium","Healthy-enriched",-0.609535407394138,8.22281128696204e-05,0.00153492477356625
"4","g__Tannerellaceae_unclassified","Sick-enriched",0.730666336731954,0.00074620898404839,0.00835754062134197
"5","g__Bifidobacterium","Sick-enriched",1.95593262882561,0.00142514898960469,0.0133013905696438
"6","g__Akkermansia","Sick-enriched",2.13970907073929,0.00490822341904069,0.0343575639332848
"7","g__Megasphaera","Sick-enriched",2.71678243042089,0.000113580216366872,0.0015901230291362
"8","g__Lactobacillus","Sick-enriched",3.16282759635118,3.54211603415184e-05,0.000991792489562515
