feature	X158846	X39948	X906	X1578	X1301	X1263	X216851	X292632	X572511	X33042	X841	X189330	X1485	X1730	X1678	X561	X838	X239759	X816	X375288	X239934
ERR260139	-2.77430404992883	-2.77430404992883	-2.77430404992883	-2.77430404992883	-2.77430404992883	16.6367651159985	12.9967276092865	16.0307747826285	14.4326498399134	14.962220988722	-2.77430404992883	14.9478329984343	-2.77430404992883	16.7513487199564	15.3267718143377	-2.77430404992883	-2.77430404992883	-2.77430404992883	-2.77430404992883	-2.77430404992883	-2.77430404992883
ERR260140	-2.79260868323553	14.7501531481337	-2.79260868323553	-2.79260868323553	-2.79260868323553	16.4967595279775	13.9200285997102	15.2163720710674	14.9321470455443	-2.79260868323553	-2.79260868323553	14.5359596321159	-2.79260868323553	15.9100730337394	-2.79260868323553	-2.79260868323553	-2.79260868323553	-2.79260868323553	16.6213386521358	-2.79260868323553	-2.79260868323553
ERR260144	-2.8016800020151	15.0654085432072	-2.8016800020151	-2.8016800020151	-2.8016800020151	15.5491028288809	14.8434497568404	15.4009504603755	-2.8016800020151	15.4145096591912	14.8102945731928	14.9910231520986	-2.8016800020151	16.7824015236224	-2.8016800020151	-2.8016800020151	-2.8016800020151	-2.8016800020151	14.425179601331	-2.8016800020151	-2.8016800020151
ERR260149	-2.82039059038022	-2.82039059038022	-2.82039059038022	-2.82039059038022	14.9654439749608	15.5600117716844	14.6168120888875	16.0204730944032	14.3082545469754	16.7673769602942	-2.82039059038022	-2.82039059038022	-2.82039059038022	15.6531766875791	-2.82039059038022	-2.82039059038022	-2.82039059038022	14.9335492578905	15.3740405459555	-2.82039059038022	-2.82039059038022
ERR260151	-2.78342577888338	-2.78342577888338	-2.78342577888338	-2.78342577888338	-2.78342577888338	16.3656341500264	14.2297370083555	15.3945539191611	-2.78342577888338	14.2795519869352	-2.78342577888338	-2.78342577888338	-2.78342577888338	15.2214394912544	-2.78342577888338	-2.78342577888338	15.4806268973823	-2.78342577888338	14.5616138374116	-2.78342577888338	-2.78342577888338
ERR260152	-2.8002217885096	-2.8002217885096	-2.8002217885096	-2.8002217885096	14.3653051662118	16.3571061462357	15.299090494373	15.3601793296055	15.4035223635388	14.2296906411028	-2.8002217885096	15.708341628577	-2.8002217885096	16.2659326034181	-2.8002217885096	-2.8002217885096	-2.8002217885096	-2.8002217885096	14.221699263908	-2.8002217885096	-2.8002217885096
ERR260155	-2.82026901594966	15.7835662794269	-2.82026901594966	-2.82026901594966	14.7036834230103	15.7364537251705	15.314402934838	-2.82026901594966	15.61457102042	15.0000333370125	-2.82026901594966	-2.82026901594966	-2.82026901594966	15.7997870475549	-2.82026901594966	-2.82026901594966	-2.82026901594966	15.1330877213594	-2.82026901594966	-2.82026901594966	-2.82026901594966
ERR260159	-2.80942643762019	15.8374731321387	-2.80942643762019	-2.80942643762019	14.5580378848626	15.8818080300651	14.7290364689537	-2.80942643762019	-2.80942643762019	-2.80942643762019	14.5360352791462	14.8016384984027	-2.80942643762019	16.2614887718798	14.5206816430935	-2.80942643762019	-2.80942643762019	-2.80942643762019	16.5356957348472	-2.80942643762019	-2.80942643762019
ERR260161	-2.81489184159327	-2.81489184159327	-2.81489184159327	-2.81489184159327	14.8759839822213	16.1765763457484	-2.81489184159327	16.0617823520196	14.969564460092	-2.81489184159327	15.4234825574494	15.1339019167105	-2.81489184159327	16.3233066973321	14.3182424779075	-2.81489184159327	-2.81489184159327	-2.81489184159327	14.6468594485894	-2.81489184159327	-2.81489184159327
ERR260162	-2.77782241027748	-2.77782241027748	-2.77782241027748	14.1766459671058	16.235505395466	15.1017779660562	14.6504880989955	15.0715393471859	14.5763782613314	15.5102248349658	14.2368509820413	-2.77782241027748	-2.77782241027748	16.5538872504484	-2.77782241027748	-2.77782241027748	-2.77782241027748	-2.77782241027748	-2.77782241027748	-2.77782241027748	-2.77782241027748
