feature	X218538	X33039	X360807	X751585	X39491	X88431	X39488	X457412	X40518	X853	X39485	X1680	X216816	X562	X165179	X47678	X817	X818	X820	X821	X357276	X46506	X28116	X204516	X28117	X239935
ERR260139	-0.0038860073776055	-0.0038860073776055	-0.0038860073776055	0.0184081213926085	0.229957692616013	0.0380396019357546	0.0238566807070923	0.0601080843351578	0.18086426436572	-0.0038860073776055	-0.0038860073776055	0.0310359601633438	-0.0038860073776055	-0.0038860073776055	-0.0038860073776055	-0.0038860073776055	-0.0038860073776055	-0.0038860073776055	-0.0038860073776055	-0.0038860073776055	-0.0038860073776055	-0.0038860073776055	-0.0038860073776055	-0.0038860073776055	-0.0038860073776055	-0.0038860073776055
ERR260140	0.0367374181025248	0.033499352767835	-0.00398668362638727	-0.00398668362638727	0.0678419499505672	-0.00398668362638727	0.0492545123684002	0.10357720282619	0.108862422415147	-0.00398668362638727	-0.00398668362638727	-0.00398668362638727	-0.00398668362638727	-0.00398668362638727	-0.00398668362638727	-0.00398668362638727	-0.00398668362638727	-0.00398668362638727	0.135729170730213	-0.00398668362638727	0.0679083990352834	-0.00398668362638727	-0.00398668362638727	-0.00398668362638727	-0.00398668362638727	-0.00398668362638727
ERR260144	0.0523706337939166	-0.00352574512598167	-0.00352574512598167	0.0324413152504888	0.22456076959125	0.0465656672907032	-0.00352574512598167	-0.00352574512598167	0.0513527049039854	0.0414906406238761	0.0257665167424644	-0.00352574512598167	-0.00352574512598167	-0.00352574512598167	-0.00352574512598167	-0.00352574512598167	-0.00352574512598167	-0.00352574512598167	-0.00352574512598167	-0.00352574512598167	-0.00352574512598167	-0.00352574512598167	-0.00352574512598167	-0.00352574512598167	-0.00352574512598167	-0.00352574512598167
ERR260149	-0.00356018403616322	-0.00356018403616322	-0.00356018403616322	0.275027156433323	0.0643329229314192	-0.00356018403616322	-0.00356018403616322	0.0171178442984213	0.0689082805735452	0.033158170057368	-0.00356018403616322	-0.00356018403616322	-0.00356018403616322	-0.00356018403616322	-0.00356018403616322	-0.00356018403616322	-0.00356018403616322	-0.00356018403616322	-0.00356018403616322	-0.00356018403616322	-0.00356018403616322	-0.00356018403616322	-0.00356018403616322	-0.00356018403616322	0.0193079359109718	-0.00356018403616322
ERR260151	-0.00336231339625827	-0.00336231339625827	-0.00336231339625827	-0.00336231339625827	-0.00336231339625827	0.0137604517650824	-0.00336231339625827	-0.00336231339625827	0.170837181907778	0.0208179728554329	0.0151589050108253	-0.00336231339625827	-0.00336231339625827	-0.00336231339625827	0.0786804236536967	-0.00336231339625827	-0.00336231339625827	-0.00336231339625827	-0.00336231339625827	-0.00336231339625827	-0.00336231339625827	-0.00336231339625827	-0.00336231339625827	-0.00336231339625827	-0.00336231339625827	-0.00336231339625827
ERR260152	-0.00390926558607103	-0.00390926558607103	-0.00390926558607103	-0.00390926558607103	0.117879956799502	0.089592826066133	0.0308142348638129	0.0353109667978639	0.147388491381219	0.0660976515827253	-0.00390926558607103	-0.00390926558607103	-0.00390926558607103	-0.00390926558607103	-0.00390926558607103	-0.00390926558607103	-0.00390926558607103	-0.00390926558607103	-0.00390926558607103	-0.00390926558607103	-0.00390926558607103	-0.00390926558607103	-0.00390926558607103	-0.00390926558607103	-0.00390926558607103	-0.00390926558607103
ERR260155	0.110065888860131	0.0562430256338702	-0.00335207817542589	-0.00335207817542589	-0.00335207817542589	-0.00335207817542589	0.0840082212670175	-0.00335207817542589	0.0751669153889914	0.0690854137885674	-0.00335207817542589	-0.00335207817542589	-0.00335207817542589	-0.00335207817542589	-0.00335207817542589	-0.00335207817542589	-0.00335207817542589	-0.00335207817542589	-0.00335207817542589	-0.00335207817542589	-0.00335207817542589	-0.00335207817542589	-0.00335207817542589	-0.00335207817542589	-0.00335207817542589	-0.00335207817542589
ERR260159	0.114181605741828	-0.00394359359210986	-0.00394359359210986	-0.00394359359210986	0.107925097870946	0.0352410612187694	0.0348044116985661	-0.00394359359210986	0.0781135145829386	0.0366093087260859	-0.00394359359210986	-0.00394359359210986	-0.00394359359210986	-0.00394359359210986	-0.00394359359210986	-0.00394359359210986	-0.00394359359210986	-0.00394359359210986	0.124933233328776	-0.00394359359210986	0.0469136707481547	-0.00394359359210986	0.0443658836372927	-0.00394359359210986	-0.00394359359210986	-0.00394359359210986
ERR260161	-0.00325880477106075	-0.00325880477106075	-0.00325880477106075	-0.00325880477106075	0.124968169267185	0.0335562285920574	0.0334813343006879	0.0710060122247229	0.0839004279540377	-0.00325880477106075	-0.00325880477106075	-0.00325880477106075	-0.00325880477106075	-0.00325880477106075	-0.00325880477106075	-0.00325880477106075	-0.00325880477106075	-0.00325880477106075	-0.00325880477106075	-0.00325880477106075	-0.00325880477106075	-0.00325880477106075	-0.00325880477106075	-0.00325880477106075	-0.00325880477106075	-0.00325880477106075
ERR260162	-0.00292327805658456	-0.00292327805658456	-0.00292327805658456	0.0606861553626267	0.143403157763705	-0.00292327805658456	-0.00292327805658456	0.0266347474856291	-0.00292327805658456	0.0334758620468596	0.0255864303891312	-0.00292327805658456	-0.00292327805658456	-0.00292327805658456	-0.00292327805658456	-0.00292327805658456	-0.00292327805658456	-0.00292327805658456	-0.00292327805658456	-0.00292327805658456	-0.00292327805658456	-0.00292327805658456	-0.00292327805658456	-0.00292327805658456	-0.00292327805658456	-0.00292327805658456
